YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M
2023,3,2,19,0,0,0,0,0,0,0,0,4.41,-1.7,1.35,4.7,65.69,0.01,72.81,0.36,295.46,0.685315418,293.2
2023,3,2,20,0,0,0,0,0,0,0,0,3.42,-1.92,0.76,4.64,69.44,0,72.85,0.58,0.77,1.104119284,1.42
2023,3,2,21,0,0,0,0,0,0,0,0,2.75,-2.3,0.23,4.52,70.88,0,72.86,0.87,17.78,1.656178927,18.63
2023,3,2,22,0,0,0,0,0,0,0,0,2.23,-2.91,-0.34,4.33,70.31,0,72.85,1.05,24.27,1.998836636,24.07
2023,3,2,23,0,0,0,0,0,0,0,0,2.07,-3.6,-0.77,4.09,67.44,0,72.83,1.12,24.41,2.132092411,24.28
2023,3,3,0,0,0,0,0,0,0,0,0,2.01,-4.31,-1.15,3.85,64.06,0,72.8,1.14,24.64,2.17016549,24.4
2023,3,3,1,0,0,0,0,0,0,0,0,1.92,-5.02,-1.55,3.66,60.94,0,72.76,1.15,23.61,2.18920203,23.74
2023,3,3,2,0,0,0,0,0,0,0,0,1.77,-5.7,-1.96,3.48,58.31,0,72.74,1.15,22.38,2.18920203,22.39
2023,3,3,3,0,0,0,0,0,0,0,0,1.57,-6.36,-2.4,3.3,56.12,0,72.72,1.16,19.65,2.208238569,19.82
2023,3,3,4,0,0,0,0,0,0,0,0,1.21,-6.95,-2.87,3.11,54.81,0,72.72,1.21,19.6,2.303421266,20.1
2023,3,3,5,0,0,0,0,0,0,0,0,0.8,-7.52,-3.37,2.99,53.88,0,72.73,1.27,21.21,2.417640502,21.8
